NumberFunctions,Language,Compiler,Arguments,Environment,TimeSeconds,MemoryKB,Error
5000,C++,clang++,-O2,,,,
5000,C++,clang++,,,,,
5000,C++,g++,-O2,,,,
5000,C++,g++,,,,,
5000,C,clang,-O2,,,,
5000,C,clang,,,,,
5000,C,gcc,-O2,,,,
5000,C,gcc,,,,,
5000,CSharp,dotnet,build -c release --no-restore,,,,
5000,CSharp,dotnet,build --no-restore,,,,
5000,D,dmd,-O,,,,
5000,D,dmd,,,,,
5000,D,ldc2,-O,,,,
5000,D,ldc2,,,,,
5000,D,gdc,-O,,,,
5000,D,gdc,,,,,
5000,FSharp,dotnet,build -c release --no-restore,,,,
5000,FSharp,dotnet,build --no-restore,,,,
5000,Go,go,build,,,,
5000,Haskell,stack,ghc -- -O2,,,,
5000,Haskell,stack,ghc --,,,,
5000,Java,javac,-J-Xmx4096M -J-Xms64M,,,,
5000,Kotlin,kotlinc,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
5000,OCaml,ocamlopt,-O2,,,,
5000,OCaml,ocamlopt,,,,,
5000,Rust,rustc,,,,,
5000,Rust,rustc,-C opt-level=2,,,,
5000,Scala,scalac,-opt:l:inline -opt-inline-from:**,JAVA_OPTS:-Xmx4096M -Xms64M,,,
5000,Scala,scalac,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
5000,Swift,swiftc,-O,,,,
5000,Swift,swiftc,,,,,
5000,Nim,nim,compile,,,,
5000,Nim,nim,compile -d:release --opt:speed,,,,
5000,Crystal,crystal,build,,,,
5000,Crystal,crystal,build --release,,,,
10000,C++,clang++,-O2,,,,
10000,C++,clang++,,,,,
10000,C++,g++,-O2,,,,
10000,C++,g++,,,,,
10000,C,clang,-O2,,,,
10000,C,clang,,,,,
10000,C,gcc,-O2,,,,
10000,C,gcc,,,,,
10000,CSharp,dotnet,build -c release --no-restore,,,,
10000,CSharp,dotnet,build --no-restore,,,,
10000,D,dmd,-O,,,,
10000,D,dmd,,,,,
10000,D,ldc2,-O,,,,
10000,D,ldc2,,,,,
10000,D,gdc,-O,,,,
10000,D,gdc,,,,,
10000,FSharp,dotnet,build -c release --no-restore,,,,
10000,FSharp,dotnet,build --no-restore,,,,
10000,Go,go, build,,,,
10000,Haskell,stack,ghc -- -O2,,,,
10000,Haskell,stack,ghc --,,,,
10000,Java,javac,-J-Xmx4096M -J-Xms64M,,,,
10000,Kotlin,kotlinc,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
10000,OCaml,ocamlopt,-O2,,,,
10000,OCaml,ocamlopt,,,,,
10000,Rust,rustc,,,,,
10000,Rust,rustc,-C opt-level=2,,,,
10000,Scala,scalac,-opt:l:inline -opt-inline-from:**,JAVA_OPTS:-Xmx4096M -Xms64M,,,
10000,Scala,scalac,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
10000,Swift,swiftc,-O,,,,
10000,Swift,swiftc,,,,,
15000,C++,clang++,-O2,,,,
15000,C++,clang++,,,,,
15000,C++,g++,-O2,,,,
15000,C++,g++,,,,,
15000,C,clang,-O2,,,,
15000,C,clang,,,,,
15000,C,gcc,-O2,,,,
15000,C,gcc,,,,,
15000,CSharp,dotnet,build -c release --no-restore,,,,
15000,CSharp,dotnet,build --no-restore,,,,
15000,D,dmd,-O,,,,
15000,D,dmd,,,,,
15000,D,ldc2,-O,,,,
15000,D,ldc2,,,,,
15000,D,gdc,-O,,,,
15000,D,gdc,,,,,
15000,FSharp,dotnet,build -c release --no-restore,,,,
15000,FSharp,dotnet,build --no-restore,,,,
15000,Go,go, build,,,,
15000,Haskell,stack,ghc -- -O2,,,,
15000,Haskell,stack,ghc --,,,,
15000,Java,javac,-J-Xmx4096M -J-Xms64M,,,,
15000,Kotlin,kotlinc,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
15000,OCaml,ocamlopt,-O2,,,,
15000,OCaml,ocamlopt,,,,,
15000,Rust,rustc,,,,,
15000,Rust,rustc,-C opt-level=2,,,,
15000,Scala,scalac,-opt:l:inline -opt-inline-from:**,JAVA_OPTS:-Xmx4096M -Xms64M,,,
15000,Scala,scalac,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
15000,Swift,swiftc,-O,,,,
15000,Swift,swiftc,,,,,
20000,C++,clang++,-O2,,,,
20000,C++,clang++,,,,,
20000,C++,g++,-O2,,,,
20000,C++,g++,,,,,
20000,C,clang,-O2,,,,
20000,C,clang,,,,,
20000,C,gcc,-O2,,,,
20000,C,gcc,,,,,
20000,CSharp,dotnet,build -c release --no-restore,,,,
20000,CSharp,dotnet,build --no-restore,,,,
20000,D,dmd,-O,,,,
20000,D,dmd,,,,,
20000,D,ldc2,-O,,,,
20000,D,ldc2,,,,,
20000,D,gdc,-O,,,,
20000,D,gdc,,,,,
20000,FSharp,dotnet,build -c release --no-restore,,,,
20000,FSharp,dotnet,build --no-restore,,,,
20000,Go,go, build,,,,
20000,Haskell,stack,ghc -- -O2,,,,
20000,Haskell,stack,ghc --,,,,
20000,Java,javac,-J-Xmx4096M -J-Xms64M,,,,
20000,Kotlin,kotlinc,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
20000,OCaml,ocamlopt,-O2,,,,
20000,OCaml,ocamlopt,,,,,
20000,Rust,rustc,,,,,
20000,Rust,rustc,-C opt-level=2,,,,
20000,Scala,scalac,-opt:l:inline -opt-inline-from:**,JAVA_OPTS:-Xmx4096M -Xms64M,,,
20000,Scala,scalac,,JAVA_OPTS:-Xmx4096M -Xms64M,,,
20000,Swift,swiftc,-O,,,,
20000,Swift,swiftc,,,,,