Number Functions, C (gcc -O2) [5.4.0-6ubuntu1], C (gcc) [5.4.0-6ubuntu1], C++ (g++ -O2) [5.4.0-6ubuntu1], C++ (g++) [5.4.0-6ubuntu1], C++ (clang -O2) [3.8.0-2ubuntu4], C++ (clang) [3.8.0-2ubuntu4], Rust (rustc -C opt-level=2) [1.17.0-nightly], Rust (rustc) [1.17.0-nightly], D (dmd -O) [64], D (dmd) [64], D (gdc -O) [5.4.0-6ubuntu1], D (gdc) [5.4.0-6ubuntu1], D (ldc2 -O) [1.0.0], D (ldc2) [1.0.0], OCaml (ocamlopt -O2) [4.04.0], OCaml (ocamlopt) [4.04.0], Haskell (ghc -O) [7.10.3], Haskell (ghc) [7.10.3], Go (go build) [1.8], CSharp (csc /o) [2.3.0.61801], CSharp (csc) [2.3.0.61801], FSharp (fsharpc -O) [4.1], FSharp (fsharpc) [4.1], Java (javac) [1.8.0_131], Scala (scalac -optimise) [2.11.6], Scala (scalac) [2.11.6], Scala (dotc -optimise) [0.3.0-RC2], Scala (dotc) [0.3.0-RC2], Kotlin (kotlinc) [1.1.4]
5000, 5.4446909, 4.7406676, 5.8508894, 4.7487212, 4.0498938, 2.7476173, 29.5829386, 29.1856432, 1.84185, 1.2400165, 11.1541532, 5.5451691, 3.8447285, 2.6404443, 8.2530881, 8.2545116, 35.7106494, 50.7386841, 2.9524752, 4.6495173, 4.240976, 19.2764908, 18.9677942, 2.4422338, 21.1764457, 16.0648698, 28.6966331, 16.3795932, 41.7382749
10000, 11.1548014, 9.1502661, 11.8579349, 9.3527511, 7.9449704, 5.2436834, 23.4790888, 22.4738521, 3.2414195, 2.0366087, 20.3717442, 10.2477417, 6.7449763, 4.8428538, 21.7768609, 21.6836108, 72.983352, 109.3611838, 4.7424004, 7.948694, 8.0489039, 37.2069488, 36.8033568, 3.4406276, 35.2971963, 26.4889559, 50.0424253, 24.9795153, 99.7401333
15000, 17.0667851, 13.9633341, 17.9664768, 14.3624512, 11.7578358, 7.8487466, 36.0992712, 33.4959603, 4.6436929, 3.1400301, 29.6905542, 14.8608795, 9.5522148, 7.2500605, 43.4270779, 42.9278827, 117.8770956, 184.0164396, 7.1486586, 11.9535254, 11.8563447, 57.9492641, 57.8482157, 4.1429284, 52.4501697, 39.5080588, 68.3612683, 31.6962817, 180.7038992
20000, 23.5763426, 18.6709896, 24.6798081, 19.1739338, 15.9649581, 10.4540787, 48.032689, 44.920434, 6.3462666, 4.24365, 39.1067159, 19.5690668, 12.8579855, 9.6517592, 75.9042206, 77.8061284, 172.2898043, 276.8063081, 9.6551449, 15.9611651, 15.6720755, 80.1956701, 78.8841983, 5.2478838, 77.6953682, 56.6433122, 81.886583, 40.1151569, 276.7820404
25000, 29.2913028, 23.3777555, 31.0945754, 23.781387, 19.7749149, 13.0604816, 62.9539066, 56.0350954, 8.1556383, 5.5470017, 48.3256613, 24.1816456, 15.9624453, 12.5592789, 124.515903, 122.812971, 234.6228647, 386.9464077, 11.8560048, 19.7780722, 19.1701384, 104.0499197, 104.2364308, , , , , , 
30000, 35.1043786, 27.9841911, 37.1032479, 28.5896691, 23.6786893, 15.4617539, 76.1787186, 67.0601079, 10.2556821, 7.1505589, 58.2453947, 28.7924928, 19.1711177, 15.7665357, , , 312.2756273, 510.606732, 14.0593388, 23.6776642, 23.3754629, 126.9727014, 130.0022038, , , , , , 
35000, 41.6127401, 32.6962768, 43.815254, 33.5012716, 27.8877788, 18.0701425, 89.4003325, 78.2848085, 12.6619995, 8.9552661, 67.6685723, 33.6947516, 22.9783154, 18.8748395, , , 390.7594685, 651.7649193, 16.363236, 27.5829756, 26.9822353, 158.9675004, 158.8586667, , , , , , 
40000, 47.5211882, 37.7020846, 50.3295748, 38.3048612, 31.8942148, 20.8744616, 102.8259314, 89.5046486, 15.0682345, 11.0595146, 76.8852845, 38.3989979, 26.5884999, 22.4873363, , , 477.9833912, 811.9714074, 18.6710026, 31.4937391, 30.5905268, 187.1227425, 183.8098485, , , , , , 
45000, 53.2352462, 42.9195778, 56.7444028, 43.0187437, 35.9120726, 23.3819487, 115.6547098, 100.9156257, 18.377099, 13.6710015, 86.394192, 43.0158837, 31.1899904, 25.7918002, , , 624.8532023, 1052.5002243, 21.3727562, 34.9050377, 34.5981416, 222.9002208, 216.740766, , , , , , 
50000, 59.444831, 47.0249393, 62.3555835, 48.0292908, 39.7095803, 25.9892334, 139.388959, 112.6406629, 22.5931796, 16.8790101, 95.7222674, 47.7237557, 35.1059439, 30.6053847, , , 816.5176924, 1365.5810318, 23.6800831, 38.8060414, 38.2107704, 252.7594957, 248.1592713, , , , , , 