Compiler, Number Functions, Time
C (gcc -O2) [5.4.0-6ubuntu1], 5000, 5.4446909
C (gcc) [5.4.0-6ubuntu1], 5000, 4.7406676
C (gcc -O2) [5.4.0-6ubuntu1], 10000, 11.1548014
C (gcc) [5.4.0-6ubuntu1], 10000, 9.1502661
C (gcc -O2) [5.4.0-6ubuntu1], 15000, 17.0667851
C (gcc) [5.4.0-6ubuntu1], 15000, 13.9633341
C (gcc -O2) [5.4.0-6ubuntu1], 20000, 23.5763426
C (gcc) [5.4.0-6ubuntu1], 20000, 18.6709896
C (gcc -O2) [5.4.0-6ubuntu1], 25000, 29.2913028
C (gcc) [5.4.0-6ubuntu1], 25000, 23.3777555
C (gcc -O2) [5.4.0-6ubuntu1], 30000, 35.1043786
C (gcc) [5.4.0-6ubuntu1], 30000, 27.9841911
C (gcc -O2) [5.4.0-6ubuntu1], 35000, 41.6127401
C (gcc) [5.4.0-6ubuntu1], 35000, 32.6962768
C (gcc -O2) [5.4.0-6ubuntu1], 40000, 47.5211882
C (gcc) [5.4.0-6ubuntu1], 40000, 37.7020846
C (gcc -O2) [5.4.0-6ubuntu1], 45000, 53.2352462
C (gcc) [5.4.0-6ubuntu1], 45000, 42.9195778
C (gcc -O2) [5.4.0-6ubuntu1], 50000, 59.444831
C (gcc) [5.4.0-6ubuntu1], 50000, 47.0249393
C++ (g++ -O2) [5.4.0-6ubuntu1], 5000, 5.8508894
C++ (g++) [5.4.0-6ubuntu1], 5000, 4.7487212
C++ (clang -O2) [3.8.0-2ubuntu4], 5000, 4.0498938
C++ (clang) [3.8.0-2ubuntu4], 5000, 2.7476173
C++ (g++ -O2) [5.4.0-6ubuntu1], 10000, 11.8579349
C++ (g++) [5.4.0-6ubuntu1], 10000, 9.3527511
C++ (clang -O2) [3.8.0-2ubuntu4], 10000, 7.9449704
C++ (clang) [3.8.0-2ubuntu4], 10000, 5.2436834
C++ (g++ -O2) [5.4.0-6ubuntu1], 15000, 17.9664768
C++ (g++) [5.4.0-6ubuntu1], 15000, 14.3624512
C++ (clang -O2) [3.8.0-2ubuntu4], 15000, 11.7578358
C++ (clang) [3.8.0-2ubuntu4], 15000, 7.8487466
C++ (g++ -O2) [5.4.0-6ubuntu1], 20000, 24.6798081
C++ (g++) [5.4.0-6ubuntu1], 20000, 19.1739338
C++ (clang -O2) [3.8.0-2ubuntu4], 20000, 15.9649581
C++ (clang) [3.8.0-2ubuntu4], 20000, 10.4540787
C++ (g++ -O2) [5.4.0-6ubuntu1], 25000, 31.0945754
C++ (g++) [5.4.0-6ubuntu1], 25000, 23.781387
C++ (clang -O2) [3.8.0-2ubuntu4], 25000, 19.7749149
C++ (clang) [3.8.0-2ubuntu4], 25000, 13.0604816
C++ (g++ -O2) [5.4.0-6ubuntu1], 30000, 37.1032479
C++ (g++) [5.4.0-6ubuntu1], 30000, 28.5896691
C++ (clang -O2) [3.8.0-2ubuntu4], 30000, 23.6786893
C++ (clang) [3.8.0-2ubuntu4], 30000, 15.4617539
C++ (g++ -O2) [5.4.0-6ubuntu1], 35000, 43.815254
C++ (g++) [5.4.0-6ubuntu1], 35000, 33.5012716
C++ (clang -O2) [3.8.0-2ubuntu4], 35000, 27.8877788
C++ (clang) [3.8.0-2ubuntu4], 35000, 18.0701425
C++ (g++ -O2) [5.4.0-6ubuntu1], 40000, 50.3295748
C++ (g++) [5.4.0-6ubuntu1], 40000, 38.3048612
C++ (clang -O2) [3.8.0-2ubuntu4], 40000, 31.8942148
C++ (clang) [3.8.0-2ubuntu4], 40000, 20.8744616
C++ (g++ -O2) [5.4.0-6ubuntu1], 45000, 56.7444028
C++ (g++) [5.4.0-6ubuntu1], 45000, 43.0187437
C++ (clang -O2) [3.8.0-2ubuntu4], 45000, 35.9120726
C++ (clang) [3.8.0-2ubuntu4], 45000, 23.3819487
C++ (g++ -O2) [5.4.0-6ubuntu1], 50000, 62.3555835
C++ (g++) [5.4.0-6ubuntu1], 50000, 48.0292908
C++ (clang -O2) [3.8.0-2ubuntu4], 50000, 39.7095803
C++ (clang) [3.8.0-2ubuntu4], 50000, 25.9892334
Rust (rustc -C opt-level=2) [1.17.0-nightly], 5000, 29.5829386
Rust (rustc) [1.17.0-nightly], 5000, 29.1856432
Rust (rustc -C opt-level=2) [1.17.0-nightly], 10000, 23.4790888
Rust (rustc) [1.17.0-nightly], 10000, 22.4738521
Rust (rustc -C opt-level=2) [1.17.0-nightly], 15000, 36.0992712
Rust (rustc) [1.17.0-nightly], 15000, 33.4959603
Rust (rustc -C opt-level=2) [1.17.0-nightly], 20000, 48.032689
Rust (rustc) [1.17.0-nightly], 20000, 44.920434
Rust (rustc -C opt-level=2) [1.17.0-nightly], 25000, 62.9539066
Rust (rustc) [1.17.0-nightly], 25000, 56.0350954
Rust (rustc -C opt-level=2) [1.17.0-nightly], 30000, 76.1787186
Rust (rustc) [1.17.0-nightly], 30000, 67.0601079
Rust (rustc -C opt-level=2) [1.17.0-nightly], 35000, 89.4003325
Rust (rustc) [1.17.0-nightly], 35000, 78.2848085
Rust (rustc -C opt-level=2) [1.17.0-nightly], 40000, 102.8259314
Rust (rustc) [1.17.0-nightly], 40000, 89.5046486
Rust (rustc -C opt-level=2) [1.17.0-nightly], 45000, 115.6547098
Rust (rustc) [1.17.0-nightly], 45000, 100.9156257
Rust (rustc -C opt-level=2) [1.17.0-nightly], 50000, 139.388959
Rust (rustc) [1.17.0-nightly], 50000, 112.6406629
D (dmd -O) [64], 5000, 1.84185
D (dmd) [64], 5000, 1.2400165
D (gdc -O) [5.4.0-6ubuntu1], 5000, 11.1541532
D (gdc) [5.4.0-6ubuntu1], 5000, 5.5451691
D (ldc2 -O) [1.0.0], 5000, 3.8447285
D (ldc2) [1.0.0], 5000, 2.6404443
D (dmd -O) [64], 10000, 3.2414195
D (dmd) [64], 10000, 2.0366087
D (gdc -O) [5.4.0-6ubuntu1], 10000, 20.3717442
D (gdc) [5.4.0-6ubuntu1], 10000, 10.2477417
D (ldc2 -O) [1.0.0], 10000, 6.7449763
D (ldc2) [1.0.0], 10000, 4.8428538
D (dmd -O) [64], 15000, 4.6436929
D (dmd) [64], 15000, 3.1400301
D (gdc -O) [5.4.0-6ubuntu1], 15000, 29.6905542
D (gdc) [5.4.0-6ubuntu1], 15000, 14.8608795
D (ldc2 -O) [1.0.0], 15000, 9.5522148
D (ldc2) [1.0.0], 15000, 7.2500605
D (dmd -O) [64], 20000, 6.3462666
D (dmd) [64], 20000, 4.24365
D (gdc -O) [5.4.0-6ubuntu1], 20000, 39.1067159
D (gdc) [5.4.0-6ubuntu1], 20000, 19.5690668
D (ldc2 -O) [1.0.0], 20000, 12.8579855
D (ldc2) [1.0.0], 20000, 9.6517592
D (dmd -O) [64], 25000, 8.1556383
D (dmd) [64], 25000, 5.5470017
D (gdc -O) [5.4.0-6ubuntu1], 25000, 48.3256613
D (gdc) [5.4.0-6ubuntu1], 25000, 24.1816456
D (ldc2 -O) [1.0.0], 25000, 15.9624453
D (ldc2) [1.0.0], 25000, 12.5592789
D (dmd -O) [64], 30000, 10.2556821
D (dmd) [64], 30000, 7.1505589
D (gdc -O) [5.4.0-6ubuntu1], 30000, 58.2453947
D (gdc) [5.4.0-6ubuntu1], 30000, 28.7924928
D (ldc2 -O) [1.0.0], 30000, 19.1711177
D (ldc2) [1.0.0], 30000, 15.7665357
D (dmd -O) [64], 35000, 12.6619995
D (dmd) [64], 35000, 8.9552661
D (gdc -O) [5.4.0-6ubuntu1], 35000, 67.6685723
D (gdc) [5.4.0-6ubuntu1], 35000, 33.6947516
D (ldc2 -O) [1.0.0], 35000, 22.9783154
D (ldc2) [1.0.0], 35000, 18.8748395
D (dmd -O) [64], 40000, 15.0682345
D (dmd) [64], 40000, 11.0595146
D (gdc -O) [5.4.0-6ubuntu1], 40000, 76.8852845
D (gdc) [5.4.0-6ubuntu1], 40000, 38.3989979
D (ldc2 -O) [1.0.0], 40000, 26.5884999
D (ldc2) [1.0.0], 40000, 22.4873363
D (dmd -O) [64], 45000, 18.377099
D (dmd) [64], 45000, 13.6710015
D (gdc -O) [5.4.0-6ubuntu1], 45000, 86.394192
D (gdc) [5.4.0-6ubuntu1], 45000, 43.0158837
D (ldc2 -O) [1.0.0], 45000, 31.1899904
D (ldc2) [1.0.0], 45000, 25.7918002
D (dmd -O) [64], 50000, 22.5931796
D (dmd) [64], 50000, 16.8790101
D (gdc -O) [5.4.0-6ubuntu1], 50000, 95.7222674
D (gdc) [5.4.0-6ubuntu1], 50000, 47.7237557
D (ldc2 -O) [1.0.0], 50000, 35.1059439
D (ldc2) [1.0.0], 50000, 30.6053847
OCaml (ocamlopt -O2) [4.04.0], 5000, 8.2530881
OCaml (ocamlopt) [4.04.0], 5000, 8.2545116
OCaml (ocamlopt -O2) [4.04.0], 10000, 21.7768609
OCaml (ocamlopt) [4.04.0], 10000, 21.6836108
OCaml (ocamlopt -O2) [4.04.0], 15000, 43.4270779
OCaml (ocamlopt) [4.04.0], 15000, 42.9278827
OCaml (ocamlopt -O2) [4.04.0], 20000, 75.9042206
OCaml (ocamlopt) [4.04.0], 20000, 77.8061284
OCaml (ocamlopt -O2) [4.04.0], 25000, 124.515903
OCaml (ocamlopt) [4.04.0], 25000, 122.812971
OCaml (ocamlopt -O2) [4.04.0], 30000, 
OCaml (ocamlopt) [4.04.0], 30000, 
OCaml (ocamlopt -O2) [4.04.0], 35000, 
OCaml (ocamlopt) [4.04.0], 35000, 
OCaml (ocamlopt -O2) [4.04.0], 40000, 
OCaml (ocamlopt) [4.04.0], 40000, 
OCaml (ocamlopt -O2) [4.04.0], 45000, 
OCaml (ocamlopt) [4.04.0], 45000, 
OCaml (ocamlopt -O2) [4.04.0], 50000, 
OCaml (ocamlopt) [4.04.0], 50000, 
Haskell (ghc -O) [7.10.3], 5000, 35.7106494
Haskell (ghc) [7.10.3], 5000, 50.7386841
Haskell (ghc -O) [7.10.3], 10000, 72.983352
Haskell (ghc) [7.10.3], 10000, 109.3611838
Haskell (ghc -O) [7.10.3], 15000, 117.8770956
Haskell (ghc) [7.10.3], 15000, 184.0164396
Haskell (ghc -O) [7.10.3], 20000, 172.2898043
Haskell (ghc) [7.10.3], 20000, 276.8063081
Haskell (ghc -O) [7.10.3], 25000, 234.6228647
Haskell (ghc) [7.10.3], 25000, 386.9464077
Haskell (ghc -O) [7.10.3], 30000, 312.2756273
Haskell (ghc) [7.10.3], 30000, 510.606732
Haskell (ghc -O) [7.10.3], 35000, 390.7594685
Haskell (ghc) [7.10.3], 35000, 651.7649193
Haskell (ghc -O) [7.10.3], 40000, 477.9833912
Haskell (ghc) [7.10.3], 40000, 811.9714074
Haskell (ghc -O) [7.10.3], 45000, 624.8532023
Haskell (ghc) [7.10.3], 45000, 1052.5002243
Haskell (ghc -O) [7.10.3], 50000, 816.5176924
Haskell (ghc) [7.10.3], 50000, 1365.5810318
Go (go build) [1.8], 5000, 2.9524752
Go (go build) [1.8], 10000, 4.7424004
Go (go build) [1.8], 15000, 7.1486586
Go (go build) [1.8], 20000, 9.6551449
Go (go build) [1.8], 25000, 11.8560048
Go (go build) [1.8], 30000, 14.0593388
Go (go build) [1.8], 35000, 16.363236
Go (go build) [1.8], 40000, 18.6710026
Go (go build) [1.8], 45000, 21.3727562
Go (go build) [1.8], 50000, 23.6800831
CSharp (csc /o) [2.3.0.61801], 5000, 4.6495173
CSharp (csc) [2.3.0.61801], 5000, 4.240976
CSharp (csc /o) [2.3.0.61801], 10000, 7.948694
CSharp (csc) [2.3.0.61801], 10000, 8.0489039
CSharp (csc /o) [2.3.0.61801], 15000, 11.9535254
CSharp (csc) [2.3.0.61801], 15000, 11.8563447
CSharp (csc /o) [2.3.0.61801], 20000, 15.9611651
CSharp (csc) [2.3.0.61801], 20000, 15.6720755
CSharp (csc /o) [2.3.0.61801], 25000, 19.7780722
CSharp (csc) [2.3.0.61801], 25000, 19.1701384
CSharp (csc /o) [2.3.0.61801], 30000, 23.6776642
CSharp (csc) [2.3.0.61801], 30000, 23.3754629
CSharp (csc /o) [2.3.0.61801], 35000, 27.5829756
CSharp (csc) [2.3.0.61801], 35000, 26.9822353
CSharp (csc /o) [2.3.0.61801], 40000, 31.4937391
CSharp (csc) [2.3.0.61801], 40000, 30.5905268
CSharp (csc /o) [2.3.0.61801], 45000, 34.9050377
CSharp (csc) [2.3.0.61801], 45000, 34.5981416
CSharp (csc /o) [2.3.0.61801], 50000, 38.8060414
CSharp (csc) [2.3.0.61801], 50000, 38.2107704
FSharp (fsharpc -O) [4.1], 5000, 19.2764908
FSharp (fsharpc) [4.1], 5000, 18.9677942
FSharp (fsharpc -O) [4.1], 10000, 37.2069488
FSharp (fsharpc) [4.1], 10000, 36.8033568
FSharp (fsharpc -O) [4.1], 15000, 57.9492641
FSharp (fsharpc) [4.1], 15000, 57.8482157
FSharp (fsharpc -O) [4.1], 20000, 80.1956701
FSharp (fsharpc) [4.1], 20000, 78.8841983
FSharp (fsharpc -O) [4.1], 25000, 104.0499197
FSharp (fsharpc) [4.1], 25000, 104.2364308
FSharp (fsharpc -O) [4.1], 30000, 126.9727014
FSharp (fsharpc) [4.1], 30000, 130.0022038
FSharp (fsharpc -O) [4.1], 35000, 158.9675004
FSharp (fsharpc) [4.1], 35000, 158.8586667
FSharp (fsharpc -O) [4.1], 40000, 187.1227425
FSharp (fsharpc) [4.1], 40000, 183.8098485
FSharp (fsharpc -O) [4.1], 45000, 222.9002208
FSharp (fsharpc) [4.1], 45000, 216.740766
FSharp (fsharpc -O) [4.1], 50000, 252.7594957
FSharp (fsharpc) [4.1], 50000, 248.1592713
Java (javac) [1.8.0_131], 5000, 2.4422338
Java (javac) [1.8.0_131], 10000, 3.4406276
Java (javac) [1.8.0_131], 15000, 4.1429284
Java (javac) [1.8.0_131], 20000, 5.2478838
Java (javac) [1.8.0_131], 25000, 
Java (javac) [1.8.0_131], 30000, 
Java (javac) [1.8.0_131], 35000, 
Java (javac) [1.8.0_131], 40000, 
Java (javac) [1.8.0_131], 45000, 
Java (javac) [1.8.0_131], 50000, 
Scala (scalac -optimise) [2.11.6], 5000, 21.1764457
Scala (scalac) [2.11.6], 5000, 16.0648698
Scala (dotc -optimise) [0.3.0-RC2], 5000, 28.6966331
Scala (dotc) [0.3.0-RC2], 5000, 16.3795932
Scala (scalac -optimise) [2.11.6], 10000, 35.2971963
Scala (scalac) [2.11.6], 10000, 26.4889559
Scala (dotc -optimise) [0.3.0-RC2], 10000, 50.0424253
Scala (dotc) [0.3.0-RC2], 10000, 24.9795153
Scala (scalac -optimise) [2.11.6], 15000, 52.4501697
Scala (scalac) [2.11.6], 15000, 39.5080588
Scala (dotc -optimise) [0.3.0-RC2], 15000, 68.3612683
Scala (dotc) [0.3.0-RC2], 15000, 31.6962817
Scala (scalac -optimise) [2.11.6], 20000, 77.6953682
Scala (scalac) [2.11.6], 20000, 56.6433122
Scala (dotc -optimise) [0.3.0-RC2], 20000, 81.886583
Scala (dotc) [0.3.0-RC2], 20000, 40.1151569
Scala (scalac -optimise) [2.11.6], 25000, 
Scala (scalac) [2.11.6], 25000, 
Scala (dotc -optimise) [0.3.0-RC2], 25000, 
Scala (dotc) [0.3.0-RC2], 25000, 
Scala (scalac -optimise) [2.11.6], 30000, 
Scala (scalac) [2.11.6], 30000, 
Scala (dotc -optimise) [0.3.0-RC2], 30000, 
Scala (dotc) [0.3.0-RC2], 30000, 
Scala (scalac -optimise) [2.11.6], 35000, 
Scala (scalac) [2.11.6], 35000, 
Scala (dotc -optimise) [0.3.0-RC2], 35000, 
Scala (dotc) [0.3.0-RC2], 35000, 
Scala (scalac -optimise) [2.11.6], 40000, 
Scala (scalac) [2.11.6], 40000, 
Scala (dotc -optimise) [0.3.0-RC2], 40000, 
Scala (dotc) [0.3.0-RC2], 40000, 
Scala (scalac -optimise) [2.11.6], 45000, 
Scala (scalac) [2.11.6], 45000, 
Scala (dotc -optimise) [0.3.0-RC2], 45000, 
Scala (dotc) [0.3.0-RC2], 45000, 
Scala (scalac -optimise) [2.11.6], 50000, 
Scala (scalac) [2.11.6], 50000, 
Scala (dotc -optimise) [0.3.0-RC2], 50000, 
Scala (dotc) [0.3.0-RC2], 50000, 
Kotlin (kotlinc) [1.1.4], 5000, 41.7382749
Kotlin (kotlinc) [1.1.4], 10000, 99.7401333
Kotlin (kotlinc) [1.1.4], 15000, 180.7038992
Kotlin (kotlinc) [1.1.4], 20000, 276.7820404
Kotlin (kotlinc) [1.1.4], 25000, 
Kotlin (kotlinc) [1.1.4], 30000, 
Kotlin (kotlinc) [1.1.4], 35000, 
Kotlin (kotlinc) [1.1.4], 40000, 
Kotlin (kotlinc) [1.1.4], 45000, 
Kotlin (kotlinc) [1.1.4], 50000, 
